ESTACION,LATITUD,LONGITUD
MONTEGRANDE,-7.22499,-79.15323
YONAN GORE,-7.25592,-79.09908
QUEROCOTILLO,-6.27366,-79.03696
PUENTE  MAYGASBAMBA,-6.67411,-78.52437
QUEBRADA SHUGAR,-6.68778,-78.45694
CHUGUR,-6.66878,-78.738
CACAO,-5.8837,-78.9625
EL LIMON,-5.91778,-79.31722
HACIENDA PUCARA,-6.04167,-79.13389
SAN MIGUEL,-5.24006,-78.91138
COCHALAN,-5.4654,-78.9888
COCHALAN,-5.4651,-78.9885
TABACONAS,-5.32221,-79.28779
LIVES,-7.0802,-79.04045
CIRATO,-6.65579,-79.07395
CHANCAY BAÑOS,-6.575,-78.86722
SALCCA,-14.16997,-71.23187
CHACLLABAMBA,-13.10855,-71.72
CHONTACHACA,-13.02389,-71.46778
HUANCALPI,-12.58029,-75.24179
HUACHOS,-13.2206,-75.53348
SAN JUAN DE CASTROVIRREYNA,-13.21198,-75.62758
CHOCLOCOCHA,-13.1588,-75.07145
PAUCARBAMBA,-12.55573,-74.53592
CORDOVA,-14.04061,-75.18698
TUNEL CERO,-13.25932,-75.08596
CUSICANCHA,-13.50399,-75.29625
CHALLACA PLU,-13.7896,-75.40029
CHALLACA,-13.79047,-75.38212
SANTIAGO DE CHOCORVOS,-13.83308,-75.25083
TAMBO,-13.69163,-75.27418
CHINCHAVITO,-9.515,-75.9425
TARUCA,-9.85038,-76.15236
HUERTAS,-10.1265,-76.20511
JACAS GRANDE,-9.5433,-76.76042
PUENTE BELLA,-9.32411,-76.02935
PUENTE PEREZ,-9.34694,-75.9825
HUAMANI EL TAMBO,-13.84358,-75.58928
LOS MOLINOS,-13.9248,-75.6786
CONTA,-13.43942,-75.97514
HUALLPOCA,-14.632,-74.9559
MADRIGAL,-15.60999,-71.80654
SUMBAY,-15.8412,-71.1146
PILLONES,-15.98124,-71.2167
PUENTE COLGANTE-SIBAYO,-15.4942,-71.4637
PORPERA,-15.3142,-71.3064
TISCO,-15.34577,-71.44702
CHICHAS,-15.54811,-72.91831
SALAMANCA,-15.5033,-72.8318
YANAQUIHUA,-15.77649,-72.87584
LA HACIENDITA,-16.9986,-71.6008
CUYAU,-15.2182,-72.9359
PULLHUAY (AYAHUASI),-15.1459,-72.7439
PUYCA,-15.06055,-72.69262
HUANCASANCOS,-13.91694,-74.33361
HUANTA,-12.9113,-74.2832
HUASAPAMPA,-14.26667,-73.95
LLAUTA,-14.2466,-74.9255
LUCANAS,-14.6204,-74.2328
LAMPA,-15.18468,-73.34786
CHILCAYOC,-13.883,-73.7268
AYLAMBO,-7.19345,-78.51012
LA VICTORIA,-7.19119,-78.45947
CHOTANO LAJAS,-6.5622,-78.7389
CASCABAMBA,-7.38332,-78.73377
OCROS,-10.40457,-77.40025
CAHUA,-10.606,-77.34389
NUEVO PACHACOTO,-9.85242,-77.40607
CHIRIACO,-5.16144,-78.28806
SANTA MARIA DE NIEVA,-4.83039,-77.93928
EL PINTOR,-5.7562,-78.52286
MAGUNCHAL,-5.8904,-78.1891
MAGUNCHAL,-5.8898,-78.1886
EL PALTO,-6.00039,-78.47097
SAN PEDRO,-9.60776,-77.50963
CHACCHAN,-9.53519,-77.77536
PIRA,-9.58528,-77.70719
MAYORARCA,-10.15775,-77.34889
BUENA VISTA,-9.43371,-78.20825
CUNYAC,-13.56334,-72.57594
CHARCANI,-16.3109,-71.4949
LAS SALINAS,-16.3206,-71.1521
EL FRAYLE,-16.15482,-71.1891
PATAHUASI-AREQUIPA,-16.05542,-71.41481
PAMPA DE ARRIEROS,-16.0665,-71.5914
AYO,-15.6833,-72.2704
CHACHAS,-15.5025,-72.2686
GORGOR,-10.62136,-77.04027
ARAHUAY,-11.62091,-76.67034
HUAMANTANGA,-11.50247,-76.74675
HUAROS,-11.40743,-76.5758
PARIACANCHA,-11.39315,-76.50244
PARIACANCHA,-11.39315,-76.50294
LACHAQUI,-11.554,-76.62706
OBRAJILLO,-11.45264,-76.62206
PIRCA,-11.2328,-76.65513
AMAZONAS,-3.76668,-73.25308
PUENTE ITAYA,-4.22513,-73.48251
PUERTO ALMENDRA,-3.82743,-73.37741
SAN ROQUE,-3.78667,-73.29333
SEDA LORETO,-3.7528,-73.281
MORALILLO,-3.89967,-73.33833
ANGAMOS,-5.1512,-72.8752
ANGAMOS,-5.1498,-72.8771
BORJA,-4.4696,-77.5483
PUENTE INAMBARI,-13.18638,-70.38401
EL ESTRECHO,-2.453,-72.6812
EL ESTRECHO,-2.4467,-72.6643
SANTA CRUZ,-11.19827,-76.63487
ANTIOQUIA,-12.07773,-76.51359
CARAMPOMA,-11.65503,-76.51514
SHEQUE,-11.66095,-76.5023
MILLOC,-11.57046,-76.35017
MILLOC,-11.57131,-76.34995
CASAPALCA,-11.63804,-76.23332
RIO BLANCO,-11.73447,-76.25967
LANGA,-12.12645,-76.42108
AUTISHA,-11.73815,-76.61103
AUTISHA,-11.73523,-76.60659
SAN JOSE DE PARAC,-11.80053,-76.25811
SAN MATEO DE OTAO,-11.847,-76.5636
HUANCATA,-12.18618,-76.24066
SANTIAGO DE TUNA,-11.9832,-76.5242
AMBAR,-10.75484,-77.2668
PAMPA LIBRE,-10.86578,-76.97
PACHAMACHAY,-11.06525,-76.9141
PACCHO,-10.95602,-76.93473
PARQUIN,-10.96665,-76.71983
LAGUNA SURASACA,-10.5213,-76.7885
LAGUNA SURASACA,-10.5238,-76.7867
LAGUNA COCHAQUILLO,-10.80394,-76.65537
OYON,-10.66769,-76.7687
ANDAJES,-10.78333,-76.9
YAURICOCHA,-12.31478,-75.71209
AYAVIRI,-12.38208,-76.13672
CARANIA,-12.3444,-75.87215
VILCA,-12.11457,-75.82617
HUAÑEC,-12.29359,-76.13902
SAN PEDRO DE PILAS,-12.4548,-76.22559
TANTA,-12.11667,-76.01667
AMAZONAS,-3.76397,-73.25492
SANTA MARIA DE NANAY,-3.8891,-73.6961
MANITI,-3.5203,-72.8409
TIMICURILLO,-3.5237,-73.0834
BELLAVISTA,-3.4786,-73.068
BELLAVISTA,-3.4788,-73.068
LA LIBERTAD,-3.4863,-73.2337
LA LIBERTAD,-3.4863,-73.2339
SANTA CRUZ,-3.5169,-73.1526
SANTA CRUZ,-3.51725,-73.15411
SANTA CLOTILDE,-2.48757,-73.67919
SANTA CLOTILDE,-2.487,-73.679
SANTO TOMAS PUNCHANA,-3.69279,-73.25625
ENAPU PERU,-3.72722,-73.23694
SHANUSI,-6.06703,-76.2505
LAGUNAS,-5.2194,-75.6661
BORJA,-4.47,-77.548
NAUTA,-4.5146,-73.5831
SAN REGIS,-4.51301,-73.90751
SAN REGIS,-4.5132,-73.9076
SANTA RITA DE CASTILLA,-4.5922,-74.3806
 PUERTO ALEGRIA,-4.11491,-70.05391
SANTA ROSA,-4.22636,-69.95629
SANTA ROSA,-4.2242,-69.9535
REQUENA,-5.04308,-73.83612
REQUENA,-5.0411,-73.84
FLOR DE PUNGA,-5.4077,-74.1569
FLOR DE PUNGA,-5.4055,-74.1591
TAMANCO,-5.7921,-74.289
BRETAÑA,-5.2539,-74.3444
BAGAZAN,-4.724,-73.5321
GENARO HERRERA,-4.902,-73.6715
CONTAMANA,-7.3518,-75.0109
CONTAMANA,-7.3526,-75.0064
PAMPA UMALZO (TITIJONES),-16.8439,-70.5494
TUMILACA,-17.1277,-70.8369
OTORA,-17.0073,-70.8536
OTORA,-17.0041,-70.8504
ICHUÑA,-16.14109,-70.5427
ENTAZ,-10.72244,-75.26238
MIRAFLORES,-5.17528,-80.61654
PORCULLA,-5.83964,-79.50572
HACIENDA SHUMAYA,-5.36492,-79.36056
TULUCE,-5.47718,-79.34742
SONDORILLO,-5.33922,-79.41575
HACIENDA BIGOTE,-5.3209,-79.7857
ALAMOR,-4.47749,-80.3979
ALAMOR,-4.47401,-80.39915
PANANGA,-4.51556,-80.73945
MUELLE LAGO,-15.83361,-70.01694
PROGRESO,-14.6717,-70.3678
DESAGUADERO,-16.56327,-69.03682
CALLACAME,-16.57225,-69.31697
CAPAZO,-17.1827,-69.7391
COJATA,-15.0118,-69.3612
RAMIS,-15.2558,-69.8739
TARACO,-15.31167,-69.97247
SANTA LUCIA,-15.6941,-70.5993
PUENTE AYAVIRI,-14.89249,-70.58544
SANTA ROSA,-14.6178,-70.79278
CHUQUIBAMBILLA,-14.7879,-70.7285
ISLA SOTO,-15.56221,-69.48898
JULIACA,-15.4441,-70.2078
PUENTE ISLA CABANILLAS,-15.4718,-70.224
LAMPA,-15.4437,-70.2092
CUYO CUYO,-14.4888,-69.55
LIMBANI,-14.1397,-69.687
LIMBANI,-14.1481,-69.6902
TAMBOPATA,-14.22529,-69.16178
ISLA SUANA,-16.3299,-68.85034
JOSE OLAYA,-7.40711,-76.41389
CUZCO-BIAVO,-7.25442,-76.4771
BIAVO,-7.25497,-76.47778
LA UNION,-7.16319,-76.49275
NUEVO LIMA,-7.09628,-76.47233
CUÑUMBUQUE,-6.50825,-76.48075
SHANAO,-6.41312,-76.60028
SHANAO,-6.41291,-76.60001
PACAYZAPA,-6.2818,-76.76171
HUAYABAMBA,-7.26356,-76.73494
CAMPANILLA,-7.48434,-76.65311
PICOTA,-6.91989,-76.33022
NARANJILLO,-5.80964,-77.39264
PELEJO,-6.21531,-75.8025
PUCALLPA - HUIMBAYOC,-6.45278,-75.84556
CUMBAZA,-6.47251,-76.38199
SAN ANTONIO,-6.41274,-76.4072
